Customers,Arrival Time,Entrance into Service,Departure Time,Waiting Time,Service Time ,,
1,11:07:00 AM,11:11:00 AM,11:14:00 AM,0:04,0:03,,
2,11:08:00 AM,11:11:00 AM,11:24:00 AM,0:03,0:13,,
3,11:12:00 AM,11:14:00 AM,11:25:00 AM,0:02,0:11,,
4,11:12:00 AM,11:14:00 AM,11:25:00 AM,0:02,0:11,,
5,11:12:00 AM,11:15:00 AM,11:26:00 AM,0:03,0:11,,
6,11:13:00 AM,11:15:00 AM,11:27:00 AM,0:02,0:12,,
7,11:14:00 AM,11:24:00 AM,11:27:00 AM,0:10,0:03,,
8,11:16:00 AM,11:25:00 AM,11:30:00 AM,0:09,0:05,,
9,11:17:00 AM,11:26:00 AM,11:33:00 AM,0:09,0:07,,
10,11:21:00 AM,11:27:00 AM,11:33:00 AM,0:06,0:06,,
11,11:23:00 AM,11:27:00 AM,11:36:00 AM,0:04,0:09,,
12,11:30:00 AM,11:30:00 AM,11:37:00 AM,0:00,0:07,,
13,11:30:00 AM,11:31:00 AM,11:38:00 AM,0:01,0:07,,
14,11:34:00 AM,11:34:00 AM,11:40:00 AM,0:00,0:06,,
15,11:34:00 AM,11:35:00 AM,11:40:00 AM,0:01,0:05,,
16,11:33:00 AM,11:37:00 AM,11:41:00 AM,0:04,0:04,,
17,11:36:00 AM,11:37:00 AM,11:42:00 AM,0:01,0:05,,
18,11:36:00 AM,11:38:00 AM,11:43:00 AM,0:02,0:05,,
19,11:38:00 AM,11:40:00 AM,11:46:00 AM,0:02,0:06,,
20,11:42:00 AM,11:42:00 AM,11:47:00 AM,0:00,0:05,,
21,11:43:00 AM,11:43:00 AM,11:48:00 AM,0:00,0:05,,
22,11:43:00 AM,11:44:00 AM,11:50:00 AM,0:01,0:06,,
23,11:50:00 AM,11:51:00 AM,11:53:00 AM,0:01,0:02,,
24,11:52:00 AM,11:53:00 AM,11:54:00 AM,0:01,0:01,,
25,11:53:00 AM,11:54:00 AM,11:56:00 AM,0:01,0:02,,
26,11:54:00 AM,11:55:00 AM,11:57:00 AM,0:01,0:02,,
27,11:55:00 AM,11:56:00 AM,11:58:00 AM,0:01,0:02,,
28,11:56:00 AM,11:57:00 AM,11:59:00 AM,0:01,0:02,,
29,12:00:00 PM,12:00:00 PM,12:03:00 PM,0:00,0:03,,
30,12:00:00 PM,12:01:00 PM,12:04:00 PM,0:01,0:03,,
31,12:05:00 PM,12:06:00 PM,12:07:00 PM,0:01,0:01,,
32,12:05:00 PM,12:07:00 PM,12:12:00 PM,0:02,0:05,,
33,12:05:00 PM,12:07:00 PM,12:13:00 PM,0:02,0:06,,
34,12:08:00 PM,12:09:00 PM,12:14:00 PM,0:01,0:05,,
35,12:09:00 PM,12:09:00 PM,12:15:00 PM,0:00,0:06,,
36,12:11:00 PM,12:11:00 PM,12:15:00 PM,0:00,0:04,,
37,12:11:00 PM,12:12:00 PM,12:16:00 PM,0:01,0:04,,
38,12:11:00 PM,12:13:00 PM,12:17:00 PM,0:02,0:04,,
39,12:13:00 PM,12:14:00 PM,12:18:00 PM,0:01,0:04,,
40,12:13:00 PM,12:15:00 PM,12:20:00 PM,0:02,0:05,,
41,12:14:00 PM,12:16:00 PM,12:21:00 PM,0:02,0:05,,
42,12:15:00 PM,12:17:00 PM,12:23:00 PM,0:02,0:06,,
43,12:17:00 PM,12:18:00 PM,12:24:00 PM,0:01,0:06,,
44,12:16:00 PM,12:18:00 PM,12:25:00 PM,0:02,0:07,,
45,12:18:00 PM,12:20:00 PM,12:26:00 PM,0:02,0:06,,
46,12:23:00 PM,12:23:00 PM,12:27:00 PM,0:00,0:04,,
47,12:27:00 PM,12:27:00 PM,12:30:00 PM,0:00,0:03,,
48,12:27:00 PM,12:28:00 PM,12:31:00 PM,0:01,0:03,,
49,12:27:00 PM,12:28:00 PM,12:32:00 PM,0:01,0:04,,
50,12:28:00 PM,12:29:00 PM,12:34:00 PM,0:01,0:05,,
51,12:29:00 PM,12:30:00 PM,12:35:00 PM,0:01,0:05,,
52,12:31:00 PM,12:31:00 PM,12:35:00 PM,0:00,0:04,,
53,12:31:00 PM,12:32:00 PM,12:37:00 PM,0:01,0:05,,
54,12:32:00 PM,12:33:00 PM,12:37:00 PM,0:01,0:04,,
,,,,,,,
,,,,,,,